0.007,0.034,0.007,0.057,0.009,0.046,0.052,0.299,0.403,2.943,0.000,0.000,0.636,2.943,0.000,0.000
0.006,0.034,0.007,0.057,0.008,0.034,0.065,0.299,0.417,4.414,0.000,0.000,0.625,2.943,0.000,0.000
0.006,0.034,0.008,0.046,0.008,0.034,0.060,0.322,0.369,4.414,0.000,0.000,0.623,2.943,0.000,0.000
0.006,0.034,0.007,0.057,0.008,0.034,0.062,0.299,0.373,4.414,0.000,0.000,0.652,4.414,0.000,0.000
0.002,0.023,0.007,0.057,0.009,0.046,0.064,0.299,0.346,2.943,0.000,0.000,0.677,2.943,0.000,0.000
0.003,0.023,0.007,0.057,0.010,0.046,0.076,0.333,0.313,2.943,0.000,0.000,0.722,2.943,0.000,0.000
0.003,0.034,0.005,0.057,0.011,0.046,0.081,0.356,0.309,2.943,0.000,0.000,0.732,1.471,0.000,0.000
0.004,0.034,0.006,0.057,0.012,0.046,0.083,0.379,0.301,2.943,0.000,0.000,0.734,2.943,0.000,0.000
0.004,0.034,0.005,0.057,0.013,0.057,0.083,0.356,0.301,2.943,0.000,0.000,0.732,4.414,0.000,0.000
0.003,0.023,0.006,0.057,0.013,0.046,0.089,0.379,0.310,2.943,0.000,0.000,0.734,2.943,0.000,0.000
0.005,0.023,0.006,0.057,0.013,0.046,0.090,0.390,0.309,2.943,0.000,0.000,0.735,2.943,0.000,0.000
0.003,0.023,0.003,0.046,0.013,0.046,0.082,0.356,0.305,2.943,0.000,0.000,0.737,4.414,0.000,0.000
0.004,0.023,0.006,0.057,0.012,0.046,0.095,0.379,0.278,2.943,0.000,0.000,0.736,4.414,0.000,0.000
0.003,0.023,0.005,0.057,0.013,0.046,0.087,0.379,0.307,2.943,0.000,0.000,0.736,1.471,0.000,0.000
0.003,0.023,0.005,0.057,0.013,0.046,0.092,0.390,0.275,4.414,0.000,0.000,0.735,2.943,0.000,0.000
0.005,0.023,0.005,0.057,0.013,0.046,0.093,0.379,0.299,2.943,0.000,0.000,0.736,4.414,0.000,0.000
0.005,0.023,0.008,0.057,0.012,0.046,0.096,0.390,0.273,2.943,0.000,0.000,0.736,1.471,0.000,0.000
0.003,0.023,0.005,0.057,0.013,0.046,0.086,0.379,0.298,2.943,0.000,0.000,0.736,4.414,0.000,0.000
0.005,0.023,0.007,0.057,0.012,0.046,0.089,0.367,0.282,2.943,0.000,0.000,0.735,1.471,0.000,0.000
0.006,0.034,0.008,0.069,0.013,0.057,0.091,0.390,0.290,2.943,0.000,0.000,0.736,2.943,0.000,0.000
0.004,0.034,0.007,0.057,0.013,0.046,0.092,0.379,0.273,2.943,0.000,0.000,0.736,2.943,0.000,0.000
0.005,0.034,0.006,0.057,0.012,0.046,0.091,0.379,0.295,2.943,0.000,0.000,0.735,2.943,0.000,0.000
0.006,0.046,0.008,0.057,0.013,0.057,0.098,0.390,0.273,4.414,0.000,0.000,0.736,2.943,0.000,0.000
0.005,0.034,0.008,0.057,0.013,0.046,0.097,0.390,0.265,4.414,0.000,0.000,0.736,2.943,0.000,0.000
0.005,0.046,0.007,0.057,0.013,0.057,0.091,0.390,0.278,2.943,0.000,0.000,0.736,1.471,0.000,0.000
0.005,0.034,0.007,0.069,0.013,0.057,0.086,0.390,0.300,2.943,0.000,0.000,0.735,2.943,0.000,0.000
0.005,0.034,0.005,0.057,0.013,0.057,0.084,0.379,0.285,2.943,0.000,0.000,0.736,2.943,0.000,0.000
0.005,0.023,0.006,0.057,0.013,0.046,0.082,0.379,0.293,2.943,0.000,0.000,0.736,1.471,0.000,0.000
0.005,0.034,0.005,0.069,0.013,0.057,0.083,0.379,0.307,2.943,0.000,0.000,0.736,1.471,0.000,0.000
0.004,0.034,0.004,0.057,0.013,0.057,0.087,0.379,0.299,2.943,0.000,0.000,0.736,2.943,0.000,0.000
0.005,0.034,0.006,0.057,0.013,0.057,0.087,0.379,0.299,2.943,0.000,0.000,0.736,2.943,0.000,0.000
0.006,0.034,0.007,0.069,0.013,0.057,0.089,0.402,0.299,2.943,0.000,0.000,0.736,4.414,0.000,0.000
0.004,0.034,0.006,0.057,0.013,0.057,0.095,0.379,0.290,2.943,0.000,0.000,0.735,1.471,0.000,0.000
